microcolony,cohort,colony,num-bees-end,hp-store-type,hp-size,hp-storage-order,hp-storage,total-store,1-hp-hat-halo,area-hp1,area-hp2,area-hp3,area-hp4,area-hp5,area-hp-sum,area-brood1,area-brood2,area-brood3,area-brood4,area-brood5,area-brood-sum,area-0.75-hp,area-0.5-hp,area-0.25-hp,ITD-bee1,ITD-bee2,ITD-bee3,ITD-avg
N1,1,N,3,1,,1,1,3,1,,,,,,0,327.726,,,,,327.726,119.324,,,3.54,4.19,4.22,3.983333333
N1,1,N,3,0.75,119.324,3,1,3,1,,,,,,0,327.726,,,,,327.726,119.324,,,3.54,4.19,4.22,3.983333333
N1,1,N,3,0.5,,2,1,3,1,,,,,,0,327.726,,,,,327.726,119.324,,,3.54,4.19,4.22,3.983333333
N1,1,N,3,0.25,,,0,3,1,,,,,,0,327.726,,,,,327.726,119.324,,,3.54,4.19,4.22,3.983333333
N2,1,N,3,1,,1,1,4,1,,,,,,0,472.143,,,,,472.143,,65.185,,3.43,4.7,3.72,3.95
N2,1,N,3,0.75,,2,1,4,1,,,,,,0,472.143,,,,,472.143,,65.185,,3.43,4.7,3.72,3.95
N2,1,N,3,0.5,65.185,3,1,4,1,,,,,,0,472.143,,,,,472.143,,65.185,,3.43,4.7,3.72,3.95
N2,1,N,3,0.25,,4,1,4,1,,,,,,0,472.143,,,,,472.143,,65.185,,3.43,4.7,3.72,3.95
N3,1,N,3,1,,1,1,2,1,,,,,,0,391.3,,,,,391.3,,,100.113,4.14,3.97,3.97,4.026666667
N3,1,N,3,0.75,,,0,2,1,,,,,,0,391.3,,,,,391.3,,,100.113,4.14,3.97,3.97,4.026666667
N3,1,N,3,0.5,,,0,2,1,,,,,,0,391.3,,,,,391.3,,,100.113,4.14,3.97,3.97,4.026666667
N3,1,N,3,0.25,100.113,2,1,2,1,,,,,,0,391.3,,,,,391.3,,,100.113,4.14,3.97,3.97,4.026666667
N4,1,N,3,1,,1,1,4,1,64.201,,,,,64.201,168.708,41.136,20.109,,,229.953,,57.979,,3.46,3.62,3.5,3.526666667
N4,1,N,3,0.75,,4,1,4,1,64.201,,,,,64.201,168.708,41.136,20.109,,,229.953,,57.979,,3.46,3.62,3.5,3.526666667
N4,1,N,3,0.5,57.979,3,1,4,1,64.201,,,,,64.201,168.708,41.136,20.109,,,229.953,,57.979,,3.46,3.62,3.5,3.526666667
N4,1,N,3,0.25,,2,1,4,1,64.201,,,,,64.201,168.708,41.136,20.109,,,229.953,,57.979,,3.46,3.62,3.5,3.526666667
N5,1,N,3,1,,1,1,2,1,53.913,,,,,53.913,335.367,43.027,,,,378.394,,,,4.48,4.12,3.49,4.03
N5,1,N,3,0.75,,,0,2,1,53.913,,,,,53.913,335.367,43.027,,,,378.394,,,,4.48,4.12,3.49,4.03
N5,1,N,3,0.5,,2,1,2,1,53.913,,,,,53.913,335.367,43.027,,,,378.394,,,,4.48,4.12,3.49,4.03
N5,1,N,3,0.25,,,0,2,1,53.913,,,,,53.913,335.367,43.027,,,,378.394,,,,4.48,4.12,3.49,4.03
N6,1,N,3,1,,1,1,4,1,81.81,,,,,81.81,371.95,,,,,371.95,40.905,,,4.07,3.91,3.53,3.836666667
N6,1,N,3,0.75,40.905,3,1,4,1,81.81,,,,,81.81,371.95,,,,,371.95,40.905,,,4.07,3.91,3.53,3.836666667
N6,1,N,3,0.5,,2,1,4,1,81.81,,,,,81.81,371.95,,,,,371.95,40.905,,,4.07,3.91,3.53,3.836666667
N6,1,N,3,0.25,,4,1,4,1,81.81,,,,,81.81,371.95,,,,,371.95,40.905,,,4.07,3.91,3.53,3.836666667
P1,1,P,2,1,,1,1,1,0,42.382,,,,,42.382,7.767,45.594,,,,53.361,,,,3.22,3.51,3.61,3.446666667
P1,1,P,2,0.75,,,0,1,0,42.382,,,,,42.382,7.767,45.594,,,,53.361,,,,3.22,3.51,3.61,3.446666667
P1,1,P,2,0.5,,,0,1,0,42.382,,,,,42.382,7.767,45.594,,,,53.361,,,,3.22,3.51,3.61,3.446666667
P1,1,P,2,0.25,,,0,1,0,42.382,,,,,42.382,7.767,45.594,,,,53.361,,,,3.22,3.51,3.61,3.446666667
P2,1,P,3,1,,1,1,2,1,,,,,,0,37.878,22.545,28.845,34.174,,123.442,,74.083,,3.75,3.15,3.27,3.39
P2,1,P,3,0.75,,,0,2,1,,,,,,0,37.878,22.545,28.845,34.174,,123.442,,74.083,,3.75,3.15,3.27,3.39
P2,1,P,3,0.5,74.083,2,1,2,1,,,,,,0,37.878,22.545,28.845,34.174,,123.442,,74.083,,3.75,3.15,3.27,3.39
