microcolony,label,colony,incomplete,model,start_date,end_date,bees_at_end,nectar_incomplete_ever,nectar_incomplete_at_end,pb_status,handmade_hp_max,handmade_hp_end,order_honeypot,order_1hp,order_incomplete,1hp_storage,1hp_hat,area_brood,area_honeypot
015,1.F4,F,0.5,N,26-05-23,16-06-23,3,1,0,C,0,0,NA,NA,1,NA,NA,503.54,0
023,1.F12,F,0.5,N,23-06-23,14-07-23,2,0,0,I,0,0,NA,NA,NA,NA,NA,116.99,0
036,2.E6,E,0.5,Y,23-06-23,21-07-23,2,1,1,I,0,0,NA,NA,1,0,0,89.87,0
038,2.E8,E,0.5,Y,23-06-23,21-07-23,3,0,0,I,0,0,NA,1,NA,1,1,109.89,0
042,2.F3,F,0.5,Y,15-05-23,05-06-23,3,1,1,I,0,0,NA,2,1,1,1,241.17,0
045,2.F8,F,0.5,Y,23-06-23,14-07-23,2,1,1,P,0,0,NA,NA,1,0,0,93.84,0
046,2.F9,F,0.5,Y,23-06-23,14-07-23,3,1,1,P,0,0,NA,NA,1,0,0,72.96,0
069,3.E10,E,0.75,N,23-06-23,21-07-23,3,0,0,I,0,0,NA,NA,NA,NA,NA,200.51,0
072,3.F1,F,0.75,N,03-05-23,24-05-23,2,1,1,I,0,0,NA,NA,1,NA,NA,230.9,0
101,4.E4,E,0.75,Y,23-06-23,21-07-23,3,1,1,I,0,0,NA,1,2,1,1,115.33,0
106,4.E9,E,0.75,Y,23-06-23,21-07-23,2,1,1,I,0,0,NA,NA,1,0,0,149.77,0
111,4.F4,F,0.75,Y,26-05-23,16-06-23,3,0,0,P,0,0,NA,1,NA,1,1,272.52,0
125,4.Z4,Z,0.75,Y,31-03-23,2023_04_21,2,1,1,I,0,0,NA,1,2,1,1,97.54,0
009,1.E10,E,0.5,N,23-06-23,21-07-23,3,0,0,I,1,1,1,NA,NA,NA,NA,74.06,45.45
012,1.F1,F,0.5,N,03-05-23,24-05-23,3,1,1,P,1,1,1,NA,2,NA,NA,284.04,142.78
014,1.F3,F,0.5,N,15-05-23,05-06-23,2,0,0,C,1,1,1,NA,NA,NA,NA,113.21,108.21
017,1.F6,F,0.5,N,23-06-23,14-07-23,3,1,1,P,1,1,2,NA,1,NA,NA,244.46,111.15
021,1.F10,F,0.5,N,23-06-23,14-07-23,3,1,1,I,1,1,1,NA,2,NA,NA,183.85,150.63
024,1.Z1,Z,0.5,N,31-03-23,2023_04_21,3,0,0,I,1,1,1,NA,NA,NA,NA,162.73,115.18
026,1.Z3,Z,0.5,N,31-03-23,2023_04_21,2,0,0,I,1,1,1,NA,NA,NA,NA,127.09,135.82
027,1.Z4,Z,0.5,N,31-03-23,2023_04_21,3,0,0,D,1,1,1,NA,NA,NA,NA,124.4,160.61
028,1.Z5,Z,0.5,N,31-03-23,2023_04_21,3,0,0,D,1,1,1,NA,NA,NA,NA,228.35,157.52
030,1.Z7,Z,0.5,N,31-03-23,2023_04_21,2,0,0,D,1,0,1,NA,NA,NA,NA,135.9,105.9
031,1.Z8,Z,0.5,N,31-03-23,2023_04_21,3,1,1,I,1,1,1,NA,2,NA,NA,227.62,111.97
033,2.E2,E,0.5,Y,17-05-23,07-06-23,3,0,0,I,1,1,1,2,NA,1,1,273.53,76.3
034,2.E3,E,0.5,Y,17-05-23,07-06-23,2,0,0,I,1,1,1,NA,NA,0,0,91.61,79.37
035,2.E4,E,0.5,Y,26-05-23,16-06-23,3,1,1,I,1,1,2,1,3,1,1,136.93,53.08
037,2.E7,E,0.5,Y,23-06-23,21-07-23,3,1,1,I,1,1,3,1,2,1,1,169.83,30.79
039,2.E9,E,0.5,Y,23-06-23,21-07-23,3,0,0,I,1,1,2,1,NA,1,1,119.06,15.74
047,2.F10,F,0.5,Y,23-06-23,14-07-23,2,0,0,P,1,2,2,1,NA,1,1,89.01,135.05
049,2.Z2,Z,0.5,Y,31-03-23,2023_04_21,3,1,1,I,1,1,1,NA,1,0,0,139.93,67.79
051,2.Z4,Z,0.5,Y,31-03-23,2023_04_21,3,0,0,D,1,1,1,NA,NA,0,0,146.52,179.14
052,2.Z5,Z,0.5,Y,31-03-23,2023_04_21,3,1,1,I,1,1,1,NA,2,0,0,318.89,67.41
053,2.Z6,Z,0.5,Y,31-03-23,2023_04_21,3,0,0,I,1,1,2,1,NA,1,1,187.86,115.65
055,2.Z8,Z,0.5,Y,31-03-23,2023_04_21,3,1,1,I,1,1,2,1,3,1,1,122.87,73.21
057,2.Z10,Z,0.5,Y,31-03-23,2023_04_21,3,1,1,D,1,1,3,1,2,1,1,450.37,134.1
058,2.Z11,Z,0.5,Y,31-03-23,2023_04_21,3,1,1,P,1,1,2,1,2,1,1,438.02,0
059,2.Z12,Z,0.5,Y,31-03-23,2023_04_21,2,1,1,P,1,0,2,1,3,1,1,122.24,0
063,3.E4,E,0.75,N,23-06-23,21-07-23,3,1,1,I,1,1,2,NA,1,NA,NA,163.22,26.37
067,3.E8,E,0.75,N,23-06-23,21-07-23,2,0,0,I,1,1,1,NA,NA,NA,NA,187.95,21.1
070,3.E11,E,0.75,N,23-06-23,21-07-23,3,0,0,I,1,1,1,NA,NA,NA,NA,120.68,90.24
071,3.E12,E,0.75,N,23-06-23,21-07-23,3,0,0,I,1,0,1,NA,NA,NA,NA,143.65,0
